id,brand,model,sku,price
1,Mercedes-Benz,E-Class,559-50-9602,"€72981,20"
2,Suzuki,SJ,642-69-0953,"€90247,31"
3,Nissan,Frontier,442-77-4953,"€30067,41"
4,Toyota,RAV4,521-65-6925,"€43093,80"
5,Dodge,Durango,345-81-4300,"€25209,01"
6,Toyota,Corolla,898-29-9491,"€14814,96"
7,Jeep,Grand Cherokee,279-03-2457,"€60520,81"
8,Dodge,Viper,298-43-1026,"€53615,95"
9,Scion,xB,741-32-6267,"€30171,27"
10,Cadillac,DeVille,237-18-2716,"€70328,97"
11,Bentley,Continental Flying Spur,293-89-8349,"€50973,35"
12,Hyundai,Tucson,640-44-6299,"€70133,16"
13,Kia,Amanti,504-08-6107,"€77779,43"
14,Lexus,ES,190-47-6404,"€91547,50"
15,Jeep,Grand Cherokee,305-67-5768,"€57060,91"
16,Ford,Ranger,782-04-3501,"€77869,50"
17,Ford,Escort,566-78-5851,"€75286,67"
18,Audi,A6,240-74-6775,"€26607,04"
19,Mercedes-Benz,GL-Class,426-09-3635,"€71211,10"
20,Mercedes-Benz,W201,167-42-2090,"€87332,87"
21,Audi,A5,189-25-4980,"€60897,34"
22,BMW,5 Series,247-44-0378,"€85718,16"
23,Mercedes-Benz,SL-Class,667-66-3556,"€95255,34"
24,GMC,Savana,125-98-6746,"€64944,47"
25,Toyota,Venza,166-64-4955,"€69899,95"
26,Ford,Focus,589-94-8852,"€47633,54"
27,GMC,Canyon,519-56-7122,"€87757,69"
28,Buick,Skylark,146-19-8328,"€96092,00"
29,Dodge,Ram 3500,493-13-4462,"€94862,05"
30,Lotus,Elise,724-60-5938,"€80759,67"
31,Buick,Park Avenue,530-64-8808,"€52911,18"
32,GMC,Sierra 3500,207-73-5513,"€63465,15"
33,Morgan,Aero 8,457-41-6790,"€94988,44"
34,Chevrolet,3500,686-50-3760,"€11583,75"
35,Ford,F350,392-56-2868,"€13547,62"
36,Mitsubishi,Cordia,193-05-8222,"€37909,31"
37,Audi,A6,874-70-1344,"€48245,74"
38,Ford,F250,346-39-0599,"€51220,99"
39,Hummer,H2,416-72-1371,"€73590,31"
40,Acura,Vigor,677-43-4516,"€21570,18"
41,Cadillac,STS-V,349-74-7751,"€51105,90"
42,Lincoln,Navigator L,875-94-6645,"€64288,34"
43,Nissan,Titan,711-86-2716,"€84060,85"
44,Volvo,XC70,624-40-9701,"€69411,22"
45,Oldsmobile,Silhouette,180-35-6330,"€52257,51"
46,Nissan,Sentra,165-77-5145,"€49118,75"
47,Ford,Econoline E150,145-60-6305,"€75452,23"
48,Ford,Econoline E150,568-25-2365,"€73838,24"
49,Volvo,S80,347-46-9274,"€43580,49"
50,Jeep,Cherokee,457-75-7500,"€99495,99"
51,Chrysler,PT Cruiser,674-10-8523,"€47361,59"
52,Audi,A7,834-32-9618,"€94190,00"
53,Mercedes-Benz,S-Class,165-39-2370,"€11558,29"
54,Lincoln,MKX,279-16-4780,"€38537,63"
55,Chevrolet,Venture,401-96-0236,"€11127,79"
56,Ford,F350,710-45-7006,"€70083,10"
57,Hyundai,Tucson,141-02-4315,"€22940,92"
58,Volkswagen,Passat,590-26-1842,"€36911,24"
59,Chevrolet,Suburban 2500,762-46-0334,"€72160,79"
60,Volkswagen,GTI,768-14-7464,"€57335,81"
61,Mercury,Cougar,447-22-2874,"€95911,22"
62,Chevrolet,1500,147-96-2468,"€84170,02"
63,Dodge,Grand Caravan,618-73-1002,"€42109,53"
64,Volvo,V40,535-50-7117,"€23815,30"
65,GMC,3500 Club Coupe,372-71-1362,"€52490,94"
66,Cadillac,Escalade EXT,343-68-2216,"€82674,93"
67,Audi,A4,581-62-1595,"€65552,90"
68,Dodge,Magnum,384-30-9917,"€23028,21"
69,Ford,Taurus,267-46-2191,"€48447,30"
70,Dodge,Ram 2500,129-36-1164,"€28206,04"
71,Chevrolet,S10,457-59-8732,"€92175,02"
72,Hyundai,Accent,785-69-9800,"€93879,95"
73,Chevrolet,Lumina APV,601-11-0284,"€62280,38"
74,Dodge,Ram 1500 Club,390-49-0161,"€58760,61"
75,Aston Martin,Vantage,452-75-1232,"€30909,91"
76,Pontiac,Grand Prix,645-14-2166,"€82945,27"
77,Scion,xD,886-73-1313,"€37112,59"
78,Honda,Civic,266-99-9965,"€47747,72"
